host,sigma,z_hd,is_anchor,mu_full,mu_full_err,h0_host,h0_global,n_ceph_rows,n_sn_rows,mean_period_term,median_period_term,mean_period_contrib,mean_Z_term,median_Z_term,mean_Z_contrib,frac_logP_gt_1.5,mean_PL_residual,std_PL_residual
N2525,77.89999876987692,0.00602,False,32.011384827452495,0.060659119797592,71.47270659744784,73.04342157542929,73,3,0.5790896027397261,0.556348,-1.910135175367479,0.09724243287671232,0.0965104,-0.021057430281253307,0.0,0.03402838331773551,0.48603754384703357
N2608,83.41474960345026,0.00855,False,32.62780095609936,0.11484341674416454,76.42344774641423,73.04342157542929,22,1,0.6310198636363636,0.6443995,-2.081427869167164,0.11128103727272727,0.111885,-0.024097429637192656,0.0,0.13130945592114607,0.579455419885127
N3021,54.1974425370972,0.00673,False,32.391578056420705,0.09661890006327875,67.06874129856614,73.04342157542929,16,1,0.4903828125,0.5086115,-1.617534583802374,0.0552085,0.057235400000000006,-0.011955163042418913,0.0,0.0987678263675047,0.3096149454091804
N3147,223.40894356439284,0.01079,False,33.09079227028219,0.08548301977595425,77.92623494842204,73.04342157542929,27,3,0.694968925925926,0.689486,-2.2923647479043234,0.17456111111111114,0.17421,-0.03780045725203795,0.0,0.152711246743511,0.4165959992749383
N3254,109.46338856575277,0.00648,False,32.403097669538646,0.05642765645470616,64.23565765990945,73.04342157542929,48,2,0.5787215208333333,0.5364435000000001,-1.90892105203753,-0.17764447416666665,-0.197625,0.038468146250075164,0.0,-0.05116987780777368,0.4863573841301298
N3370,80.45305219029427,0.00588,False,32.14249684857287,0.04563473133220254,65.72016714366595,73.04342157542929,73,1,0.5991419863013699,0.56007,-1.9762782437455721,-0.11890585616438355,-0.12544,0.02574855134886145,0.0,0.13937536675356077,0.46904732228581836
N3447,51.72330736696996,0.00465,False,31.944289163808396,0.03333159100221108,56.93978501348236,73.04342157542929,101,2,0.5225788415841583,0.508759,-1.7237336372301146,-0.15900403564356438,-0.15059,0.03443163952147587,0.0,0.056856903011977086,0.2928512004648567
N3583,102.6945397409901,0.00857,False,32.789901378759694,0.06342230580662947,71.09208461144934,73.04342157542929,54,1,0.5779838888888889,0.558954,-1.9064879627247673,-0.06026452333333334,-0.0558796,0.013050023132736064,0.0,-0.03563068285387581,0.3811355181859574
N3972,73.21805713454891,0.00349,False,31.70720606768601,0.06762383478759937,47.66558377737685,73.04342157542929,52,1,0.47012796153846154,0.4738255,-1.5507236738664736,0.031047325769230773,0.035480399999999995,-0.006723164759090503,0.0,0.019649310729125825,0.414829399064053
N3982,83.62532965097546,0.00349,False,31.638182951952896,0.05613440859270947,49.20503436958036,73.04342157542929,27,1,0.43276077777777777,0.397388,-1.4274674942217094,-0.13924354,-0.12326,0.030152589244474667,0.0,0.04667767230108955,0.45947531119006907
N4038,99.24471174407964,0.00571,False,31.633833444421185,0.08006152127668469,80.66592575111687,73.04342157542929,29,2,0.6948290689655172,0.640898,-2.2919034277591632,0.02624419517241379,0.0376304,-0.005683067502346019,0.0,-0.056865597699017376,0.4520658922654816
N4424,61.18387212816052,0.00256,False,30.823886546727426,0.10803518441177581,52.51499867877428,73.04342157542929,9,2,0.48377488888888887,0.471451,-1.5957382551064196,0.05789706888888889,0.0623404,-0.01253736106296723,0.0,0.009212566496490382,0.7089705458344765
N4536,94.7768686471138,0.00317,False,30.835496704011778,0.04797577794205253,64.68158064240708,73.04342157542929,40,1,0.5000298,0.489325,-1.649355307353445,-0.15100965,-0.150095,0.03270048972039841,0.0,-0.037414500435314045,0.3437003349660776
N4639,96.40480287112231,0.00359,False,31.78738490018261,0.07135652837484757,47.25395588014745,73.04342157542929,30,1,0.5614331,0.5397045,-1.8518949534785674,-0.009775691333333333,-0.00157458,0.002116883880966908,0.0,-0.1331444446415908,0.3497185462853842
N4680,100.59139374396904,0.00864,False,32.54680985917825,0.14704425851633615,80.16272530832534,73.04342157542929,11,1,0.7221009090909091,0.753397,-2.381859974853176,-0.0645897090909091,-0.0696096,0.013986623491749008,0.0,0.03175769630840752,0.4844896403868217
N5468,64.83843341735236,0.00954,False,33.18726859873988,0.04850856151230177,65.90454376217639,73.04342157542929,93,4,0.7206786344086021,0.70569,-2.3771685818686423,-0.10176776279569892,-0.10161,0.02203737099694421,0.0,-0.11296801267744937,0.46282556743720427
N5584,92.5016917700842,0.00625,False,31.86553960658754,0.0453757045325276,79.35838096576322,73.04342157542929,165,4,0.5240880848484848,0.495746,-1.7287118973020232,-0.10074343127272727,-0.0993896,0.021815556414649533,0.0,0.030246089940220988,0.44432434906564794
N5643,99.7946772856074,0.00331,False,30.508408704265044,0.04233846356112003,78.51758906861447,73.04342157542929,251,4,0.457834187250996,0.433774,-1.5101724869803386,0.13347756175298806,0.13289,-0.02890399147344179,0.0,0.013035937024583954,0.4245610734904872
N5728,166.738644821125,0.00996,False,32.91590301173811,0.10319261895982422,77.96495615698474,73.04342157542929,20,3,0.6351567499999999,0.637656,-2.095073446850298,0.14817604000000004,0.156675,-0.03208688367153584,0.0,0.21728970472714143,0.5689436803819505
