sigma_ref,h0_refit_kappa,h0_refit_err,h0_fixed_kappa,h0_fixed_err
30.0,62.96070630095198,1.3898933713841497,63.059558218112414,1.3898902917884444
35.26315789473684,63.12357677637518,1.3931985822679094,63.21392795509038,1.3931413515123203
40.526315789473685,63.312750398182615,1.3970732187578845,63.39369521477959,1.3969590447500735
45.78947368421053,63.52824675646956,1.4015332859752403,63.5990854804313,1.401362427436692
51.05263157894737,63.77008508790048,1.406596843985499,63.830356930167326,1.4063732881745998
56.31578947368421,64.03828877757103,1.4122839390321804,64.08780098219164,1.412016178245354
61.578947368421055,64.33289160242964,1.4186164852125425,64.37174291168361,1.418318443224025
66.84210526315789,64.65392436982751,1.425618265195638,64.68254254120775,1.4253102555542159
72.10526315789474,65.00142908281549,1.433314753201107,65.02059500669998,1.4330246474143113
77.36842105263159,65.37545398132514,1.4417330287966144,65.3863316013207,1.4414975431942685
82.63157894736842,65.77604966761376,1.450901782227341,65.78022069970872,1.4507677909108245
87.89473684210526,66.20327950756746,1.4608510061497182,66.2027687654171,1.4608771919191728
93.15789473684211,66.65721215135584,1.4716120364619953,66.6545214445778,1.471870528334267
98.42105263157896,67.13792503212267,1.4832174149317374,67.13606474911117,1.483795587656628
103.6842105263158,67.64550567252992,1.495700701555637,67.64802633308612,1.496703184207916
108.94736842105263,68.18005165725293,1.5090964215794906,68.1910768661352,1.5106471771208556
114.21052631578948,68.74167046317864,1.52343979641445,68.76593150814567,1.5256844847967876
119.47368421052633,69.33048091548285,1.53876680971774,69.37335148978023,1.541875095940173
124.73684210526316,69.94661412701728,1.5551140121020202,70.0141458037317,1.5592820775002254
130.0,70.59021267726865,1.5725183250671726,70.68917301198577,1.5779715800914438
