x_mode,anchor_convention,model,rank,n_params,chi2,delta_chi2,H0,H0_shift,condition_number,min_singular_value,max_param_correlation,max_abs_kappa,status,kappa0_6,kappa0_6_err,kappa0_6_sig,kappaP_6,kappaP_6_err,kappaP_6_sig,kappaZ_6,kappaZ_6_err,kappaZ_6_sig,kappaSN_6,kappaSN_6_err,kappaSN_6_sig,kappaCep_6,kappaCep_6_err,kappaCep_6_sig
centered,anchor_screened_physical,cepheid_offset,47,47,3552.6057763588933,0.1004941106575643,73.12247467084623,0.07905309541693839,206.0368458939146,0.3017524798630206,0.9996478624504936,66654.760951057,ok,-66654.760951057,210262.0380227695,0.31700806088371924,,,,,,,,,,,,
centered,anchor_screened_physical,cepheid_period,47,47,3549.78886413438,2.9174063351706536,73.59530855777628,0.5518869823469856,205.5625531471252,0.3024585296747209,0.9997600311857823,368523.796008206,ok,,,,-368523.796008206,215758.08318578865,1.7080416666979341,,,,,,,,,
centered,anchor_screened_physical,cepheid_offset_plus_period,48,48,3549.231508847823,3.4747616217277937,73.53043204995784,0.48701047452854596,206.06807679994654,0.3017184680639901,0.9996311505243672,474738.18255185045,ok,188028.75243485693,251859.42186820193,0.7465623125794849,-474738.18255185045,258442.78218533928,1.836917938034723,,,,,,,,,
centered,anchor_screened_physical,cepheid_offset_plus_metallicity,48,48,3552.4480078687648,0.25826260078611085,73.19289130416014,0.14946972873084974,206.79440891051527,0.3006514715969046,0.9998889240515955,305452.80187177914,ok,-62170.63281501477,210564.89127106406,0.29525640499574723,,,,305452.80187177914,769013.5259815683,0.3972008183885965,,,,,,
centered,anchor_screened_physical,sn_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650990844,0.09231493447914829,205.28971076869325,0.30284877792110093,0.9995134332082716,178434.096770489,ok,,,,,,,,,,178434.096770489,241974.8254197996,0.7374076888408765,,,
centered,anchor_screened_physical,cepheid_plus_sn,48,48,3551.7653679384885,0.9409025310624202,72.95975264117922,-0.08366893425007049,1219.7992446854914,0.050969148787624236,0.9997693383063513,438265.976089788,ok,,,,,,,,,,438265.976089788,478071.1748167659,0.9167379235064019,261788.7145620385,415416.0225656584,0.6301844424420621
centered,anchor_reference_zero,cepheid_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650991245,0.09231493448315575,205.6421312679902,0.3023466978202367,0.9993134035839151,178434.09677071476,ok,-178434.09677071476,241974.82541979977,0.737407688841809,,,,,,,,,,,,
centered,anchor_reference_zero,cepheid_period,47,47,3552.4938122443405,0.2124582252104119,73.10469476936942,0.061273193940124315,205.4867077364939,0.30256909797920284,0.9993696904717609,152031.72096491838,ok,,,,-152031.72096491838,329835.53064500104,0.46093190951143687,,,,,,,,,
centered,anchor_reference_zero,cepheid_offset_plus_period,48,48,3551.910581994396,0.7956884751547477,73.11264355965432,0.0692219842250239,205.66032365127907,0.3023306750757852,0.9987884027682487,443148.0434221063,ok,-443148.0434221063,580268.259719385,0.7636951289329708,396995.87210155115,790962.816189447,0.5019147094854898,,,,,,,,,
centered,anchor_reference_zero,cepheid_offset_plus_metallicity,48,48,3550.8724316003086,1.8338388692422996,73.16548320958285,0.1220616341535532,314.7534154455703,0.19753637678882466,0.9942846491676413,1650674.1719291182,ill_conditioned,-240585.35973027995,248084.78231806034,0.9697707270969742,,,,1650674.1719291182,1453298.8336804179,1.1358119429221971,,,,,,
centered,anchor_reference_zero,sn_offset,47,47,3552.1625003699914,0.5437700995594241,73.13573650990844,0.09231493447914829,205.28971076869325,0.30284877792110093,0.9995134332082716,178434.096770489,ok,,,,,,,,,,178434.096770489,241974.8254197996,0.7374076888408765,,,
centered,anchor_reference_zero,cepheid_plus_sn,47,48,3552.1625003699937,0.5437700995571504,73.13573650991087,0.09231493448157835,9.798116089048779e+16,6.345629992367304e-16,0.9995240651058429,15997115.024412086,pathological,,,,,,,,,,-15818680.927641626,115788.35095341859,136.61720542168743,-15997115.024412086,131716.34715007077,121.45125013363605
raw_sigma2,anchor_screened_physical,cepheid_offset,47,47,3552.5817488600374,0.12452160951352198,73.22864112188833,0.18521954645903804,208.79682927977703,0.29870414760675706,0.9998647041927006,72485.29088657946,ok,-72485.29088657946,205412.80981779084,0.3528761957488276,,,,,,,,,,,,
raw_sigma2,anchor_screened_physical,cepheid_period,47,47,3549.78886413438,2.9174063351706536,73.59530855777838,0.5518869823490888,205.6971027678532,0.30245923467636887,0.9997542534267065,368523.796008262,ok,,,,-368523.796008262,215758.08318578868,1.7080416666981937,,,,,,,,,
raw_sigma2,anchor_screened_physical,cepheid_offset_plus_period,48,48,3549.1924509879,3.5138194816508985,73.27351372968415,0.23009215425486218,209.9243268216884,0.29730833764789527,0.9998574870513518,485979.3940764782,ok,194087.26394015062,251317.9068038373,0.7722778945936499,-485979.3940764782,263975.1137738651,1.8410045823213228,,,,,,,,,
