model,description,n_params,rank,chi2,dof,chi2_reduced,H0,delta_chi2,kappa_0,kappa_0_err,kappa_0_sig,kappa_Z,kappa_Z_err,kappa_Z_sig
1_baseline,Full baseline (L theta),46,46,3552.706270469551,3444,1.031563957743772,73.04342157542929,0.0,,,,,,
2_noZ_plus_TEP,"Remove Z_W, add TEP offset",46,46,3575.1813251351377,3444,1.038089815660609,73.00103959495772,-22.475054665586867,140780.8938733468,205679.60533969628,0.6844669584076453,,,
3_baseline_plus_TEP,Full baseline + TEP offset,47,47,3552.6057763588933,3443,1.0318343817481537,73.12247467084623,0.1004941106575643,-66654.760951057,210262.0380227695,0.31700806088371924,,,
4_baseline_TEP_Zint,Full baseline + TEP + TEP×metallicity interaction,48,48,3552.4480078687648,3442,1.032088323029856,73.19289130416014,0.25826260078611085,-62170.63281501477,210564.89127106406,0.29525640499574723,305452.80187177914,769013.5259815683,0.3972008183885965
6_orthogonalized_TEP,Full baseline + orthogonalized TEP (X ⟂ Z_mean),47,47,3552.5939237978014,3443,1.031830939238397,72.98786528479181,0.11234667174949209,-81555.77133907155,243318.1994543303,0.3351815504223275,,,
