model,n_hosts,n_params,dof,H_app,H_app_err,kappa_Cep,kappa_Cep_err,beta_X,beta_X_err,sigma_int_v,sigma_int_v_err,chi2,chi2_reduced,logL,AIC,BIC,status,n_iter,sigma_v,sample,z_cut
Kpriorβ,29,4,25,69.51131765649383,1.5090894145060638,967736.5044823665,404204.4716125371,-9248876.291917399,15372418.524742028,0.01,41.97390822501517,14.541611513943867,0.5816644605577547,-169.2715657242667,346.5431314485334,352.0123147684793,converged,21,250,primary,0.0
Kβ,29,4,25,70.4904278034916,1.8300860204403342,3901354.2936095595,1849058.6066579379,-81830555.7562383,36024589.419895016,0.01,43.36745020535348,13.734471928716168,0.5493788771486467,-168.87059982094053,345.74119964188105,351.21038296182695,converged,21,250,primary,0.0
H0,29,2,27,69.87075398125907,2.75369548372039,0.0,,0.0,,0.01,34.24634875371352,5.703091101631364,0.2112255963567172,-183.60747128032784,371.2149425606557,373.9495342206286,converged,13,500,primary,0.0
Hβ,29,3,26,69.31524996505614,2.7853485467979686,0.0,,23521244.94977122,18408159.769545913,0.01,29.730445709308565,4.0474407027500865,0.15567079625961872,-182.78059714660282,371.56119429320563,375.66308178316507,converged,11,500,primary,0.0
K0,29,3,26,69.26626914537935,2.795919235120512,690757.187949817,520882.29858178395,0.0,,0.01,0.0,4.070372766718211,0.15655279871993116,-182.79201868600364,371.5840373720073,375.6859248619667,converged,14,500,primary,0.0
Kfixβ,29,3,26,69.2797955146715,2.801984026642389,970000.0,,-8834656.330317516,16174457.414969165,0.01,41.98358584014111,4.066629671782335,0.15640883353008983,-182.79015443866717,371.58030887733435,375.6821963672938,converged,18,500,primary,0.0
Kpriorβ,29,4,25,69.27927050768598,2.8125076429975424,962050.7093695204,405556.12282206566,-8588552.57766313,20455680.490006275,0.01,60.38959740560087,4.066835442682073,0.16267341770728294,-182.79027152142967,373.58054304285935,379.04972636280525,converged,15,500,primary,0.0
Kβ,29,4,25,70.28669284961731,3.999407628339269,3970325.21728289,5241772.664393365,-82552275.18261154,100242977.90706214,0.01,31.088624955143732,3.8256918904633506,0.15302767561853403,-182.6704352201697,373.3408704403394,378.8100537602853,converged,18,500,primary,0.0
H0,23,2,21,70.8965408797761,1.5598784422434762,0.0,,0.0,,0.01,0.0,12.441781129190367,0.5924657680566842,-135.03098344448165,274.0619668889633,276.3329553208216,converged,13,250,primary,0.005
Hβ,23,3,20,70.44680668749841,1.5759788508451449,0.0,,19699311.225087848,10287627.995423213,0.01,59.34967383261905,8.646889559523439,0.4323444779761719,-133.13771631749088,272.27543263498177,275.68191528276924,converged,14,250,primary,0.005
K0,23,3,20,70.405148169428,1.5830102413894878,578169.1117419961,292958.81536569394,0.0,,0.01,59.38871690509697,8.676313119665316,0.4338156559832658,-133.15228765580008,272.30457531160016,275.71105795938763,converged,16,250,primary,0.005
Kβ,23,4,19,71.17827344239623,2.1538169673659233,3188372.6389918136,2667331.461653139,-70437675.58816801,58703931.75567936,0.01,0.0,8.381681625796794,0.4411411381998313,-133.00716677862113,274.01433355724225,278.5563104209589,converged,28,250,primary,0.005
H0,13,2,11,71.75682671913367,1.8738768322256658,0.0,,0.0,,0.01,59.31641601515491,7.650977986451804,0.6955434533138004,-77.16233442328378,158.32466884656756,159.45456756149065,converged,9,250,primary,0.0075
Hβ,13,3,10,71.48220333296932,1.8745292324036276,0.0,,18780418.478733208,11008653.966493983,0.01,0.0,4.684734276440167,0.4684734276440167,-75.67251482631437,157.34502965262874,159.03987772501335,converged,14,250,primary,0.0075
K0,13,3,10,71.42149868055803,1.8819448075752188,549985.824343441,315470.65723715094,0.0,,0.01,83.94537861802505,4.704681984457723,0.4704681984457723,-75.68248387697655,157.3649677539531,159.0598158263377,converged,13,250,primary,0.0075
Kβ,13,4,9,72.6668912421475,1.8413449036102383,3163067.9470211957,337713.09895107587,-74710937.29947892,39.63634742148782,0.16482221238594355,0.0,4.479375989238712,0.4977084432487458,-75.57086722931294,159.14173445862588,161.40153188847202,converged,20,250,primary,0.0075
