n_hosts,n_params,dof,H_app,H_app_err,Gamma_X,Gamma_X_err,Gamma_X_sig,sigma_int_v,sigma_int_v_err,kappa_equiv,kappa_equiv_err,kappa_equiv_sig,Delta_Gamma_canonical,chi2,chi2_reduced,logL,AIC,BIC,status,sigma_v,sample,z_cut
29,3,26,69.63277241866753,1.0311330528836715,23300851.958412852,7392832.423334792,3.151816600747755,50.0,0.0,726628.5024772622,230793.72411797356,3.148389347475651,-7804212.490070887,31.57855141730075,1.2145596698961827,-166.60491674972556,339.2098334994511,343.31172098941056,converged,150,primary,0.0
29,3,26,69.54411806199585,1.4979403323224227,23089394.67307847,10132068.454969145,2.278843138071631,0.01,34.255353482851774,720952.1794542789,316748.5084025676,2.2761028397266947,-7976067.740585633,14.47870533734053,0.556873282205405,-169.24017317898813,344.48034635797626,348.5822338479357,converged,250,primary,0.0
29,3,26,69.31524752314294,2.799008083463479,23521070.63742719,18424656.418254405,1.2766083721443762,0.01,59.6456371258651,736855.9985940054,577964.5871920817,1.2749154791193416,-7442154.961385202,4.047440921002835,0.1556708046539552,-182.78059714655285,371.5611942931057,375.66308178306514,converged,500,primary,0.0
23,3,20,70.44680779202582,0.8098983570979286,19699297.50663087,8098983.568455282,2.4323172581010826,0.01,0.0,607216.7407327637,249742.95483365643,2.4313668473138947,-11769397.770730603,8.646889498545084,0.4323444749272542,-133.13771631748995,272.2754326349799,275.68191528276736,converged,250,primary,0.005
13,3,10,71.48221164603926,1.8760607576189474,18780440.4893167,11009449.262048066,1.7058474081947865,0.01,48.435688010278504,570508.4862657979,334777.8663527336,1.704140397575419,-13150771.251063883,4.684733670060152,0.46847336700601516,-75.672514826306,157.345029652612,159.03987772499661,converged,250,primary,0.0075
