beta,re_scale,n,r,p,slope,delta_h0,median_sigma,sigma_ref,kappa_cep_opt,unified_h0,post_slope,post_r
0.01,0.7,29,0.4780076912149816,0.008724764889760378,0.08310006068308409,7.860052734142712,96.94066515264554,87.16507328052906,1203961.181640625,68.59449075174021,1.8606133352199732e-07,1.1777993049151352e-06
0.01,0.75,29,0.4780076912149814,0.008724764889760412,0.08315741358358839,7.860052734142712,96.87380607077047,87.16507328052906,1205511.474609375,68.59808236354401,-9.11132594312207e-08,-5.763354181900521e-07
0.01,0.8,29,0.4780076912149813,0.008724764889760412,0.0832110994707067,7.860052734142712,96.81130531966237,87.16507328052906,1206958.0078125,68.60145208622181,-1.091960553774639e-08,-6.90239867489928e-08
0.01,0.85,29,0.4780076912149816,0.008724764889760378,0.08326156117963465,7.860052734142712,96.75263161908835,87.16507328052906,1208319.091796875,68.60462012295741,1.3035884580491349e-08,8.234763950791455e-08
0.01,0.9,29,0.4780076912149815,0.008724764889760378,0.083309165771062,7.860052734142712,96.69734515144567,87.16507328052906,1209606.93359375,68.60760659115937,-1.7241959164437063e-07,-1.0885061368383065e-06
0.01,0.95,29,0.4780076912149815,0.008724764889760378,0.08335422090098865,7.860052734142712,96.6450777149287,87.16507328052906,1210821.533203125,68.61043962312846,-4.5449884826788604e-08,-2.8676433546633564e-07
0.01,1.0,29,0.47800769121498143,0.008724764889760378,0.08339698699403143,7.860052734142712,96.5955179822017,87.16507328052906,1211975.09765625,68.61312958874026,6.0173810212873e-08,3.7945549133259594e-07
0.01,1.05,29,0.4780076912149814,0.008724764889760412,0.08343768644875614,7.860052734142712,96.54840036571379,87.16507328052906,1213073.73046875,68.61569012560076,1.342240882750156e-07,8.459728234033965e-07
0.01,1.1,29,0.4780076912149814,0.008724764889760412,0.083476510703362,7.860052734142712,96.5034964802255,87.16507328052906,1214123.53515625,68.61813205716132,1.1413342015198505e-07,7.189884892408248e-07
0.01,1.15,29,0.4780076912149815,0.008724764889760378,0.0835136257322333,7.860052734142712,96.46060850803354,87.16507328052906,1215130.615234375,68.6204639025928,-1.056423702523173e-07,-6.651812099616163e-07
0.01,1.2,29,0.4780076912149815,0.008724764889760378,0.0835491763739035,7.860052734142712,96.41956397980253,87.16507328052906,1216088.8671875,68.62270549232517,1.0756216387426334e-07,6.769600062217942e-07
0.01,1.25,29,0.47800769121498143,0.008724764889760378,0.08358328977651629,7.860052734142712,96.3802116234331,87.16507328052906,1217016.6015625,68.6248485780275,-1.9146685196247482e-07,-1.204499655687073e-06
0.01,1.3,29,0.4780076912149815,0.008724764889760378,0.08361607816834403,7.860052734142712,96.34241802903884,87.16507328052906,1217901.611328125,68.62691659255489,-3.863780769122123e-08,-2.429644467935368e-07
0.02,0.7,29,0.4741233184179844,0.009367091596859708,0.08342189693953647,7.860052734142712,96.9917757726202,87.16507328052906,1211114.501953125,68.6548168485731,-4.6600871755426185e-08,-2.913519960258793e-07
0.02,0.75,29,0.4741233184179844,0.009367091596859708,0.08353708671829044,7.860052734142712,96.85803324422807,87.16507328052906,1214227.294921875,68.66205028483058,-5.746894166569706e-08,-3.5876794495199344e-07
0.02,0.8,29,0.4741233184179843,0.009367091596859771,0.0836449835390611,7.860052734142712,96.73309241202283,87.16507328052906,1217144.775390625,68.66883412585442,-6.876866018550963e-10,-4.287150772894268e-09
0.02,0.85,29,0.4741233184179844,0.009367091596859708,0.08374646395862696,7.860052734142712,96.61587534589404,87.16507328052906,1219891.357421875,68.67522082596024,4.555002343715508e-08,2.835967312233807e-07
0.02,0.9,29,0.4741233184179843,0.009367091596859771,0.08384225500172762,7.860052734142712,96.50549024855546,87.16507328052906,1222485.3515625,68.68125598792565,1.406557845100866e-07,8.746549220274946e-07
0.02,0.95,29,0.4741233184179843,0.009367091596859771,0.08393296639307687,7.860052734142712,96.40119097653549,87.16507328052906,1224945.068359375,68.6869748545825,1.4806799568792255e-07,9.196775955208902e-07
0.02,1.0,29,0.4741233184179844,0.009367091596859708,0.08401911454082509,7.860052734142712,96.30234699217857,87.16507328052906,1227282.71484375,68.69241073065221,1.6214272721447164e-07,1.0059883538743732e-06
0.02,1.05,29,0.4741233184179843,0.009367091596859771,0.08410114068284195,7.860052734142712,96.20842068004048,87.16507328052906,1229510.498046875,68.69759027229101,1.514581502619862e-07,9.387122441568738e-07
0.02,1.1,29,0.4741233184179843,0.009367091596859771,0.08417942482257852,7.860052734142712,96.11894996360103,87.16507328052906,1231640.625,68.70253476711035,-1.7535757464757993e-08,-1.08574991945127e-07
0.02,1.15,29,0.4741233184179842,0.009367091596859771,0.08425429657557215,7.860052734142712,96.03353480292454,87.16507328052906,1233679.19921875,68.70726724036061,-1.7673814707777304e-07,-1.0932519787075174e-06
0.02,1.2,29,0.47412331841798444,0.009367091596859708,0.0843260437140537,7.860052734142712,95.95182657831349,87.16507328052906,1235626.220703125,68.71181307272062,1.5679250648707386e-07,9.68986447936016e-07
0.02,1.25,29,0.4741233184179844,0.009367091596859708,0.08439491897236966,7.860052734142712,95.87351965033734,87.16507328052906,1237506.103515625,68.7161702070496,-1.3337823548240188e-07,-8.235610998907195e-07
0.02,1.3,29,0.4741233184179843,0.009367091596859771,0.08446114552167149,7.860052734142712,95.79834458212582,87.16507328052906,1239306.640625,68.7203704925758,9.784006073395042e-08,6.036164452728847e-07
0.03,0.7,29,0.47009316884163965,0.010075092000501768,0.08369325078544429,7.860052734142712,97.39010408858235,87.16507328052906,1217730.712890625,68.71511371319141,1.6953679163316946e-07,1.0470758780258903e-06
0.03,0.75,29,0.4700931688416396,0.010075092000501768,0.08386665731162343,7.860052734142712,97.18873586698405,87.16507328052906,1222430.419921875,68.72601912653631,7.120594449633357e-08,4.3879734490350525e-07
0.03,0.8,29,0.4700931688416396,0.010075092000501768,0.0840291935096058,7.860052734142712,97.00074539659232,87.16507328052906,1226843.26171875,68.73625608391811,-1.0628802854287097e-07,-6.536235491892307e-07
0.03,0.85,29,0.47009316884163954,0.010075092000501768,0.08418215971255516,7.860052734142712,96.82448672424105,87.16507328052906,1230999.755859375,68.74590700613626,-1.3580518565816715e-07,-8.33508211474187e-07
0.03,0.9,29,0.4700931688416396,0.010075092000501768,0.08432663510860534,7.860052734142712,96.65859897064107,87.16507328052906,1234930.419921875,68.75503528875672,-1.5557110402890054e-07,-9.53061635210592e-07
0.03,0.95,29,0.47009316884163954,0.010075092000501768,0.08446352530286091,7.860052734142712,96.50194419756438,87.16507328052906,1238653.564453125,68.76370129010319,1.8190181187341086e-07,1.1124251485027158e-06
0.03,1.0,29,0.47009316884163954,0.010075092000501768,0.08459359772889403,7.860052734142712,96.35356131356743,87.16507328052906,1242205.810546875,68.77193608737781,-1.5998325859227076e-07,-9.767616074059878e-07
0.03,1.05,29,0.4700931688416396,0.010075092000501768,0.08471750845676922,7.860052734142712,96.21263129646461,87.16507328052906,1245587.158203125,68.77979620837836,-8.93320250888605e-08,-5.445484364561856e-07
0.03,1.1,29,0.47009316884163954,0.010075092000501768,0.08483582279187524,7.860052734142712,96.07845055622971,87.16507328052906,1248815.91796875,68.78731286529766,1.7899831374968697e-07,1.0894951522003937e-06
0.03,1.15,29,0.47009316884163965,0.010075092000501768,0.08494903131544163,7.860052734142712,95.95041025529176,87.16507328052906,1251916.50390625,68.79450543938708,-7.569752642998097e-08,-4.600805102844465e-07
0.03,1.2,29,0.47009316884163954,0.010075092000501768,0.08505756252693646,7.860052734142712,95.82798005674073,87.16507328052906,1254888.916015625,68.8014107110107,-1.401280003945525e-07,-8.505098098248531e-07
0.03,1.25,29,0.4700931688416396,0.010075092000501768,0.08516179291783775,7.860052734142712,95.7106952101169,87.16507328052906,1257745.361328125,68.80804965606386,-1.554877549420376e-07,-9.424908248874132e-07
0.03,1.3,29,0.47009316884163954,0.010075092000501768,0.08526205507912185,7.860052734142712,95.59814618522086,87.16507328052906,1260491.943359375,68.81444509962735,4.789507432454342e-08,2.8994842043132046e-07
0.04,0.7,29,0.4659178889421332,0.010855420330156278,0.0839127511111298,7.860052734142712,97.79006826950351,87.16507328052906,1223803.7109375,68.77530983883906,1.379319019893845e-07,8.416884667284608e-07
0.04,0.75,29,0.46591788894213326,0.010855420330156207,0.08414464621227193,7.860052734142712,97.52056760852379,87.16507328052906,1230108.642578125,68.78991766422364,-1.3835039028723062e-07,-8.41737953258747e-07
0.04,0.8,29,0.46591788894213315,0.010855420330156278,0.08436214967964896,7.860052734142712,97.26913895626764,87.16507328052906,1236029.052734375,68.8036528642541,-1.0009866902728765e-07,-6.073198372159237e-07
0.04,0.85,29,0.46591788894213326,0.010855420330156207,0.08456697486506146,7.860052734142712,97.03354853277897,87.16507328052906,1241613.76953125,68.8166141072743,-1.9892819103987823e-08,-1.2037903346069072e-07
0.04,0.9,29,0.4659178889421332,0.010855420330156278,0.08476054462941476,7.860052734142712,96.81195060409595,87.16507328052906,1246899.4140625,68.82888731906615,1.297724641694138e-07,7.833698523697521e-07
0.04,0.95,29,0.4659178889421332,0.010855420330156278,0.08494405367923591,7.860052734142712,96.60280272031669,87.16507328052906,1251922.607421875,68.84053960706919,5.637968400321285e-09,3.395424964096897e-08
0.04,1.0,29,0.4659178889421333,0.010855420330156207,0.08511851500603207,7.860052734142712,96.40480287112231,87.16507328052906,1256701.66015625,68.8516394181665,1.2228466250410348e-07,7.34822268772305e-07
0.04,1.05,29,0.46591788894213326,0.010855420330156207,0.08528479506272062,7.860052734142712,96.2168420971688,87.16507328052906,1261267.08984375,68.86223224175566,-1.312728486872724e-08,-7.871736631670363e-08
0.04,1.1,29,0.46591788894213326,0.010855420330156207,0.08544364080700576,7.860052734142712,96.03796821315214,87.16507328052906,1265631.103515625,68.87236973832196,6.280525770383249e-08,3.758541024051596e-07
0.04,1.15,29,0.46591788894213315,0.010855420330156278,0.08559570077098587,7.860052734142712,95.86735765846693,87.16507328052906,1269818.115234375,68.88208491831233,-1.130971078130043e-07,-6.755241330691111e-07
0.04,1.2,29,0.46591788894213326,0.010855420330156207,0.08574154167524581,7.860052734142712,95.70429338580816,87.16507328052906,1273834.228515625,68.89141965215663,9.984056234759886e-09,5.9524774798279e-08
0.04,1.25,29,0.4659178889421332,0.010855420330156278,0.0858816616734455,7.860052734142712,95.54814729879024,87.16507328052906,1277697.75390625,68.90039983104344,1.0651532237152956e-07,6.33923084643371e-07
0.04,1.3,29,0.46591788894213326,0.010855420330156207,0.08601650101639798,7.860052734142712,95.39836616087021,87.16507328052906,1281420.8984375,68.909051798435,1.3903559325006687e-07,8.260646369426054e-07
0.05,0.7,29,0.46159837245457097,0.011715362554217009,0.08407912737199795,7.860052734142712,98.19167503359587,87.16507328052906,1229315.185546875,68.835346723697,-3.825692073297423e-08,-2.307024953419182e-07
0.05,0.75,29,0.46159837245457097,0.011715362554217009,0.0843696712417464,7.860052734142712,97.85353232400043,87.16507328052906,1237231.4453125,68.853691815688,5.9035714857096534e-08,3.546849235486945e-07
0.05,0.8,29,0.46159837245457086,0.011715362554217009,0.08464236567804621,7.860052734142712,97.5382751401628,87.16507328052906,1244683.837890625,68.87095231743231,-1.310694384296915e-07,-7.847262976870842e-07
