sigma_ref,h0_refit_kappa,h0_refit_err,h0_fixed_kappa,h0_fixed_err
30.0,66.32878618351657,1.27305000542932,66.53341141036843,1.2713385439892035
35.26315789473684,66.46232353218036,1.2746456049998354,66.64949383849563,1.2729995370774991
40.526315789473685,66.61671738216072,1.2765578202370629,66.7845810320994,1.2749846359926993
45.78947368421053,66.79166893355494,1.2788117679544972,66.9388000135843,1.27731925913446
51.05263157894737,66.98684382632091,1.2814350603308153,67.11229603812767,1.2800325175709166
56.31578947368421,67.20186804394893,1.2844575133247815,67.30523282662001,1.283157266348017
61.578947368421055,67.43633460920003,1.2879106867423473,67.517792828715,1.2867301547302565
66.84210526315789,67.68980328420572,1.2918274846176763,67.75017751658756,1.2907916728516668
72.10526315789474,67.9618023968911,1.29624171045161,68.00260771006998,1.2953861920260552
77.36842105263159,68.2518339741578,1.3011875237796495,68.27532393390885,1.3005619957776966
82.63157894736842,68.55936793354611,1.3066991519451001,68.56858680796054,1.3063712985253526
87.89473684210526,68.8838553391908,1.312810107491706,68.88267747122254,1.3128702488022252
93.15789473684211,69.22472015257651,1.3195530278763832,69.21789804067598,1.3201189139428458
98.42105263157896,69.58136838324644,1.326958979264193,69.57457210600091,1.3281812433348206
103.6842105263158,69.95318773522241,1.335057060582102,69.9530452613102,1.3371250076381922
108.94736842105263,70.3395498612154,1.343874078548178,70.353685675139,1.3470217118326655
114.21052631578948,70.7398133970733,1.3534340560442704,70.77688470002128,1.3579464805725323
119.47368421052633,71.15332582340625,1.3637579372983741,71.22305752308077,1.3699779151122002
124.73684210526316,71.57942598903237,1.37486331322765,71.69264385916816,1.3831979220019002
130.0,72.01744687264903,1.3867642100722026,72.18610868818092,1.397691514821562
