parameter,value,error,source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,m_b_corr,m_b_corr_err,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta,distance_mpc,velocity,h0_derived,rho_local,shear_suppression,pgc_int,tully_nest,tully_nmb,tully_logpK,tully_mvir_tmsun,tully_mlum_tmsun,tully_is_group,tully_is_cluster,effective_coupling,mu_corrected,dist_corrected,h0_corrected
mu_N3021,32.39157825089393,0.0966189000632787,N3021,NGC 3021,147.73810673169,33.55359289002,28357,10.296,0.00673,0.00084,0.00592,6e-05,0.00504,6e-05,-242.468,250.0,13.1063,0.358431,1995al,15.732375475256362,55.7,54.1974425370972,47.54679870605469,23.773399353027344,54.1974425370972,-1.5025574629028,30.082619473225684,2017.60324234,67.06873529200871,0.2555499685522797,0.7458228625902495,28357,102672.0,2.0,9.77,,1.2,True,False,1209544.3955574634,32.35490252285326,29.578796846924003,68.2111328862187
mu_N3147,33.09079245164216,0.0854830197759541,N3147,NGC 3147,154.22349524198,73.40073383283999,30019,8.37261,0.01079,0.00084,0.00993,2e-05,0.00973,2e-05,-255.903,250.0,13.9279,0.377003,2008fv_comb,37.29665495870542,238.0,223.40894356439284,116.71355438232422,58.35677719116211,223.40894356439284,-14.591056435607156,41.51055025468826,3234.7606218199994,77.92622844007376,7.844355552799971e-05,0.9406490337445056,30019,100715.0,4.0,10.26,,18.6,True,False,1525505.3498906838,33.84185434265551,58.66389147012525,55.14057354117584
mu_N3254,32.40309755164495,0.056427656454706,N3254,NGC 3254,157.33300833333334,29.491438888888887,30895,10.63,0.00648,0.00084,0.0055,0.0,0.00452,0.0,-289.936,250.0,13.2078,0.317328,2019np,74.5115135659872,117.8,109.46338856575277,150.35618591308594,75.17809295654297,109.46338856575277,-8.336611434247232,30.242626807909343,1942.6551278399995,64.23566114739536,0.0171618536686083,0.9395421664064708,30895,100784.0,4.0,9.91,,4.6,True,False,1523710.2786311412,32.51023849270452,31.77223005729107,61.14317831442872
mu_N3370,32.14249679432585,0.0456347313322023,N3370,NGC 3370,161.76697273869,17.27369871105,32207,10.196,0.00588,0.00084,0.0054,1e-05,0.00427,1e-05,-144.588,250.0,12.9292,0.338568,1994ae,31.314751246021032,85.0,80.45305219029427,94.86833190917967,47.43416595458984,80.45305219029427,-4.546947809705728,26.822506478861083,1762.77965304,65.72016878546579,0.0360516177152825,0.9357840312324516,32207,112647.0,1.0,9.77,,0.399,False,False,1517615.4918319066,32.15617646535398,26.9920141596875,65.30745140437526
mu_N3447,31.944288930942335,0.0333315910022108,N3447,NGC 3447,163.34986296531,16.77242823926,32694,9.53,0.00465,0.00084,0.00465,2e-05,0.00352,2e-05,-0.2973,250.0,12.78,0.419535,2012ht,22.03175875380119,55.0,51.72330736696996,111.46057891845705,55.73028945922851,51.72330736696996,-3.276692633030038,24.48261404350778,1394.0349296999998,56.93979111963599,0.006307385640719,0.9404993929203972,32694,,,,,,False,False,1525262.6686466169,31.893592598061424,23.91765073152288,58.284776600684104
mu_N3583,32.7899012784913,0.0634223058066292,N3583,NGC 3583,168.5457458333333,48.318377777777776,34232,10.95,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,-249.339,250.0,13.4997,0.266214,ASASSN-15so,1.3098966680831907,108.0,102.6945397409901,84.55149841308594,42.27574920654297,102.6945397409901,-5.305460259009905,36.139343226006055,2569.2213650599997,71.09208789414787,0.1181631158042258,0.8908926255857782,34232,102455.0,2.0,9.66,,4.24,True,False,1444812.4834606526,32.86840869707829,37.46983144120333,68.56773212581844
mu_N3972,31.707206094762284,0.0676238347875992,N3972,NGC 3972,178.93787699999996,55.320735,37466,10.417,0.00349,0.00084,0.00369,2e-05,0.00313,2e-05,61.7743,250.0,12.5403,0.55206,2011by,18.04572886564375,78.0,73.21805713454891,116.71355438232422,58.35677719116211,73.21805713454891,-4.781942865451086,21.95033834795257,1046.2756784199998,47.665583183030606,0.0587623403638594,0.9278337699368908,37466,100008.0,65.0,10.31,55.1,73.3,True,True,1504722.0898250737,31.70215530364147,21.89934173524113,47.77658118994048
mu_N3982,31.63818279538434,0.0561344085927094,N3982,NGC 3982,179.11726896503,55.12523877407,37520,10.199,0.00349,0.00084,0.00369,1e-05,0.00313,1e-05,61.7743,250.0,12.2437,0.544824,1998aq,22.78719524707538,87.3,83.62532965097546,70.32686614990234,35.16343307495117,83.62532965097546,-3.674670349024538,21.263588500362,1046.2756784199998,49.20503791738575,0.1788599702532786,0.8339356817251509,37520,100008.0,65.0,10.31,55.1,73.3,True,True,1352442.0887057367,31.65820609502139,21.4605683304118,48.75340029729414
mu_N4038,31.633833407662937,0.0800615212766845,N4038,NGC 4038,180.47084166666667,-18.86758888888889,37967,10.682,0.00571,0.00084,0.0066,2e-05,0.00542,2e-05,265.999,250.0,12.4269,0.374942,2007sr,378.7708452742237,107.0,99.24471174407964,157.4422607421875,78.72113037109375,99.24471174407964,-7.755288255920362,21.221040857874737,1711.8149351799998,80.66592711661346,0.048766617164011,0.9317852338736042,37967,,,,,,False,False,1511130.4091440875,31.70423108751439,21.920286065314254,78.09272789960092
mu_N4424,30.823886318364572,0.1080351844117757,N4424,NGC 4424,186.79822551483997,9.420647348250002,40809,9.633,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,0.0,250.0,11.4703,0.781906,2012cg,17.00238784698351,65.0,61.18387212816052,108.92340087890624,54.461700439453125,61.18387212816052,-3.816127871839477,14.614274608739017,767.4686924800001,52.5150042015134,0.0402801665628792,0.9345836396616356,40809,100002.0,197.0,11.34,701.0,529.0,True,True,1515668.7468743809,30.79152250739646,14.398077320448097,53.30355403704103
