host,sigma,resid_baseline,resid_tep
M101,24.259487978011435,0.018454342721840065,0.0190193272633241
M1337,86.86632608105229,-0.04357396853906979,-0.04310995349199991
N0691,101.84679244339156,-0.02862328644710437,-0.02873777441631045
N1015,101.5484288080592,-0.014045078999942007,-0.014253984980659223
N105A,83.85761906519484,0.05871449799754025,0.05964407082394736
N1309,85.48966270428608,0.05942338248859758,0.05979739082093845
N1365,135.86279623041727,-0.04739057930731864,-0.04854485026702956
N1448,86.82548236717271,-0.07578383131348104,-0.07564978708951069
N1559,68.84088748488503,0.031723342095071674,0.03274493812008207
N2442,133.31717130180132,0.0047765910193407765,0.0030120441090159852
N2525,77.89999876987692,0.03148177203962246,0.033157914122194675
N2608,83.41474960345026,0.12856113619814016,0.12942605946305155
N3021,54.1974425370972,0.09150624846180833,0.09444543052093855
N3147,223.40894356439284,0.14031746754674396,0.12109449163531878
N3254,109.46338856575277,-0.04707102714135385,-0.0480635779222327
N3370,80.45305219029427,0.1381324862544383,0.13870603014486996
N3447,51.72330736696996,0.056609388285200284,0.05694096373278236
N3583,102.6945397409901,-0.03549198535413855,-0.03576985135366606
N3972,73.21805713454891,0.02104636129471512,0.022397524480847024
N3982,83.62532965097546,0.040250473520281806,0.040834983583342845
N4038,99.24471174407964,-0.05141842275261745,-0.05149167780541351
N4424,61.18387212816052,-0.007732898018518467,-0.007282573723755222
N4536,94.7768686471138,-0.03727262592763346,-0.03726944025492581
N4639,96.40480287112231,-0.131445780033515,-0.13133019907546933
N4680,100.59139374396904,0.019035321550466982,0.01872132569534039
N5468,64.83843341735236,-0.10820106536491575,-0.10606648637852427
N5584,92.5016917700842,0.034053506789063756,0.0343176007192849
N5643,99.7946772856074,0.01242737886147399,0.01243973414759032
N5728,166.738644821125,0.1695557493262001,0.161424849020837
N5861,106.20418271445524,-0.01850564492001595,-0.01869719288511984
N5917,52.64017958361095,-0.04262972191564529,-0.04078311064355777
N7250,50.4111892361293,0.04571706966121463,0.04680038366741666
N7329,116.39793698312904,0.040520002732790605,0.03880357263762585
N7541,61.802987112436774,-0.07337746256569219,-0.07148249080511211
N7678,102.49610850692297,0.0037982863371161337,0.0034552446085448375
N976A,212.70617385012537,0.28317837466258794,0.2657553829588701
U9391,72.84250306090047,0.0036836198602200453,0.0042669604675562335
N4258,101.3961443852618,0.04606965259149574,0.04508877134678649
LMC,18.3626282846689,0.0028916550033665847,0.0031113583347954616
M31,128.54156498170164,0.0255998289665082,0.025357884721329136
