source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,m_b_corr,m_b_corr_err,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta
LMC_GRND,LMC,80.89416666666666,-69.75611111111111,17223,,,,,,,,,,,,,,24.0,18.3626282846689,19369.625,9684.8125,18.3626282846689,-5.637371715331099
LMC_GRND,LMC,80.89416666666666,-69.75611111111111,17223,,,,,,,,,,,,,,24.0,18.3626282846689,19369.625,9684.8125,18.3626282846689,-5.637371715331099
LMC_HST,LMC,80.89416666666666,-69.75611111111111,17223,,,,,,,,,,,,,,24.0,18.3626282846689,19369.625,9684.8125,18.3626282846689,-5.637371715331099
LMC_HST,LMC,80.89416666666666,-69.75611111111111,17223,,,,,,,,,,,,,,24.0,18.3626282846689,19369.625,9684.8125,18.3626282846689,-5.637371715331099
M101,M 101,210.80242916666668,54.34875,50063,10.677,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,0.0,250.0,9.80286,1.51723,2011fe,276.6985076274426,28.0,24.259487978011435,865.20947265625,432.604736328125,24.259487978011435,-3.7405120219885646
M1337,NGC 1337,52.02482916666667,-8.388619444444442,12916,,,,,,,,,,,,,,94.0,86.86632608105229,172.63197326660156,86.31598663330078,86.86632608105229,-7.133673918947707
M31,M 31,10.684708333333331,41.26875,2557,,,,,,,,,,,,,,160.0,128.54156498170164,5716.3818359375,2858.19091796875,128.54156498170164,-31.45843501829836
N0691,NGC 0691,27.673786536389997,21.759970445709996,6793,10.827,0.00855,0.00084,0.00861,2e-05,0.00954,2e-05,15.8947,250.0,13.599,0.316884,2005W,56.21610210131819,108.0,101.84679244339156,104.02104949951172,52.01052474975586,101.84679244339156,-6.153207556608436
N1015,NGC 1015,39.54813215151,-1.3187773861799998,9988,9.906,0.00815,0.00084,0.00801,2e-05,0.00877,2e-05,-43.0674,250.0,13.1181,0.370944,2009ig,22.619141847191347,106.5,101.54842880805921,78.90803527832031,39.45401763916016,101.54842880805921,-4.951571191940786
N105A,NGC 105,6.31979949466,12.88386496266,1583,10.123,0.01682,0.00085,0.01646,9e-05,0.01765,9e-05,-104.478,250.0,15.2119,0.357309,2007A,10.658738312317682,85.0,83.85761906519484,33.66054916381836,16.83027458190918,83.85761906519484,-1.1423809348051606
N1309,NGC 1309,50.52731207393,-15.39994213692,12626,9.89,0.00719,0.00085,0.00668,0.00015,0.00719,0.00015,-152.591,250.0,13.1893,0.299093,2002fk,12.667845748592352,89.0,85.48966270428608,65.63285827636719,32.816429138183594,85.48966270428608,-3.5103372957139243
N1365,NGC 1365,53.40190833333333,-36.140658333333334,13179,10.732,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,-67.5086,250.0,11.9704,0.409689,2012fr,49.12435147913568,151.0,135.86279623041727,336.6054992675781,168.30274963378906,135.86279623041727,-15.137203769582726
N1448,NGC 1448,56.132979166666665,-44.644827777777785,13727,11.28,0.00333,0.00084,0.00357,1e-05,0.00379,1e-05,71.5597,250.0,12.2481,0.590389,2001el,22.903638799607837,95.0,86.82548236717271,227.57327270507812,113.78663635253906,86.82548236717271,-8.174517632827289
N1559,NGC 1559,64.3989619176,-62.78368099094,14814,9.552,0.00407,0.00084,0.00435,1e-05,0.00435,1e-05,86.1777,250.0,12.1249,0.478515,2005df_ANU,53.734349345457694,73.0,68.84088748488503,104.02104949951172,52.01052474975586,68.84088748488503,-4.15911251511497
N2442,NGC 2442,114.09904189399002,-69.53083273787,21373,12.198,0.00488,0.00084,0.00515,2e-05,0.00476,2e-05,80.5777,250.0,12.1943,0.44745,2015F,97.30833663299931,144.0,133.31717130180132,164.86227416992188,82.43113708496094,133.31717130180132,-10.682828698198676
N2525,NGC 2525,121.40849930031004,-11.427045532359998,22721,10.06,0.00602,0.00085,0.00596,0.00015,0.0051,0.00015,-18.777,250.0,12.6874,0.343274,2018gv,64.37758304478365,82.0,77.89999876987692,86.52095031738281,43.260475158691406,77.89999876987692,-4.100001230123084
N2608,NGC 2608,128.82220753716,28.473398979510005,24111,10.449,0.00855,0.00084,0.00796,1e-05,0.00719,1e-05,-174.166,250.0,13.4398,0.358202,2001bg,28.266810170067377,87.0,83.41474960345026,68.72603607177734,34.36301803588867,83.41474960345026,-3.585250396549739
N3021,NGC 3021,147.73810673169,33.55359289002,28357,10.296,0.00673,0.00084,0.00592,6e-05,0.00504,6e-05,-242.468,250.0,13.1063,0.358431,1995al,15.732375475256362,55.7,54.1974425370972,47.54679870605469,23.773399353027344,54.1974425370972,-1.5025574629028
N3147,NGC 3147,154.22349524198,73.40073383283999,30019,8.37261,0.01079,0.00084,0.00993,2e-05,0.00973,2e-05,-255.903,250.0,13.9279,0.377003,2008fv_comb,37.29665495870542,238.0,223.40894356439284,116.71355438232422,58.35677719116211,223.40894356439284,-14.591056435607157
